CRF,Original variable,SDTM Domain,SDTM variable,Data Type,mapping instruction
7,128,6,70,0,267
7,128,6,67,0,144
7,130,6,75,0,364
7,131,6,74,0,187
7,129,6,69,0,196
7,157,6,70,0,267
7,157,6,67,0,211
7,159,6,75,0,364
7,160,6,74,0,187
7,158,6,69,0,197
7,33,6,70,0,267
7,33,6,67,0,47
7,35,6,75,0,364
7,36,6,74,0,187
7,34,6,69,0,189
7,175,6,70,0,267
7,179,6,67,0,398
7,177,6,75,0,364
7,178,6,74,0,187
7,176,6,69,0,200
7,180,6,70,0,267
7,184,6,67,0,398
7,182,6,75,0,364
7,183,6,74,0,187
7,181,6,69,0,201
7,185,6,70,0,267
7,189,6,67,0,398
7,187,6,75,0,364
7,188,6,74,0,187
7,186,6,69,0,202
7,249,6,96,0,269
7,249,6,51,0,295
7,249,6,98,0,265
7,161,6,68,0,187
7,163,6,73,0,348
7,162,6,72,0,364
7,249,5,71,0,209
7,115,6,70,0,267
7,115,6,67,0,140
7,117,6,75,0,364
7,118,6,74,0,187
7,116,6,69,0,193
7,124,6,70,0,267
7,124,6,67,0,143
7,126,6,75,0,364
7,127,6,74,0,187
7,125,6,69,0,195
7,37,6,70,0,267
7,37,6,67,0,55
7,39,6,75,0,364
7,40,6,74,0,187
7,38,6,69,0,190
7,244,6,70,0,267
7,244,6,67,0,260
7,246,6,75,0,364
7,247,6,74,0,187
7,245,6,69,0,204
7,111,6,70,0,267
7,111,6,67,0,138
7,113,6,75,0,364
7,114,6,74,0,187
7,112,6,69,0,192
7,120,6,70,0,267
7,120,6,67,0,142
7,122,6,75,0,364
7,123,6,74,0,187
7,121,6,69,0,194
7,164,6,70,0,267
7,164,6,67,0,212
7,166,6,75,0,364
7,167,6,74,0,187
7,165,6,69,0,198
7,168,6,70,0,267
7,168,6,67,0,217
7,170,6,75,0,364
7,171,6,74,0,187
7,169,6,69,0,199
7,102,6,70,0,267
7,102,6,67,0,127
7,104,6,75,0,364
7,105,6,74,0,187
7,103,6,69,0,191
7,228,6,70,0,267
7,228,6,67,0,222
7,230,6,75,0,364
7,231,6,74,0,187
7,229,6,69,0,203
7,128,6,70,0,267
7,128,6,67,0,144
7,130,6,75,0,364
7,131,6,74,0,187
7,129,6,69,0,196
7,157,6,70,0,267
7,157,6,67,0,211
7,159,6,75,0,364
7,160,6,74,0,187
7,158,6,69,0,197
7,33,6,70,0,267
7,33,6,67,0,47
7,35,6,75,0,364
7,36,6,74,0,187
7,34,6,69,0,189
7,175,6,70,0,267
7,179,6,67,0,398
7,177,6,75,0,364
7,178,6,74,0,187
7,176,6,69,0,200
7,180,6,70,0,267
7,184,6,67,0,398
7,182,6,75,0,364
7,183,6,74,0,187
7,181,6,69,0,201
7,185,6,70,0,267
7,189,6,67,0,398
7,187,6,75,0,364
7,188,6,74,0,187
7,186,6,69,0,202
10,249,12,96,0,269
10,249,12,51,0,297
10,249,12,98,0,265
10,261,12,99,0,356
10,260,12,99,0,267
10,251,12,104,0,357
10,253,12,103,0,364
10,250,12,109,0,273
10,250,12,108,0,273
10,250,12,100,0,393
10,250,12,101,0,284
10,250,12,105,0,393
10,250,12,106,1,364
10,250,12,107,0,284
10,262,12,109,0,283
10,262,12,108,0,283
10,262,12,100,0,393
10,262,12,101,0,274
10,262,12,105,0,393
10,262,12,106,1,364
10,262,12,107,0,274
10,258,5,65,0,59
10,257,12,109,0,281
10,257,12,108,0,282
10,257,12,100,0,393
10,259,12,101,0,394
10,257,12,105,0,393
10,257,12,106,1,390
10,259,12,107,0,272
10,255,12,102,0,220
10,252,12,109,0,276
10,252,12,108,0,275
10,252,12,100,0,393
10,252,12,101,0,285
10,252,12,105,0,393
10,252,12,106,1,364
10,252,12,107,0,286
10,254,12,109,0,277
10,254,12,108,0,278
10,254,12,100,0,393
10,254,12,101,0,287
10,254,12,105,0,393
10,254,12,106,1,364
10,254,12,107,0,288
10,256,12,109,0,279
10,256,12,108,0,280
